"date","close","volume","open","high","low"
"2017/07/21","14.4800","14218500.0000","14.8000","14.8400","14.3400"
"2017/07/20","14.8900","11831410.0000","15.0500","15.1400","14.7200"
"2017/07/19","14.9700","14382520.0000","14.8600","15.2400","14.8000"
"2017/07/18","14.7300","19900540.0000","15.1700","15.2500","14.6300"
"2017/07/17","15.1300","13258000.0000","15.3000","15.4300","15.1200"
"2017/07/14","15.2700","14625390.0000","15.4400","15.5900","15.2650"
"2017/07/13","15.6900","21569340.0000","15.7800","15.9700","15.5600"
"2017/07/12","15.2400","19490730.0000","15.5400","15.7500","15.2100"
"2017/07/11","15.4700","41858250.0000","16.3300","16.3600","15.4400"
"2017/07/10","16.9900","8557931.0000","17.1600","17.2100","16.9500"
"2017/07/07","17.1800","4539713.0000","17.3300","17.3800","17.1500"
"2017/07/06","17.3100","6185119.0000","17.2500","17.3800","17.2350"
"2017/07/05","17.3200","6032164.0000","17.5700","17.5900","17.2200"
"2017/07/03","17.5900","3285663.0000","17.9100","17.9200","17.4500"
"2017/06/30","17.7700","5986691.0000","18.0300","18.0799","17.6200"
"2017/06/29","17.8900","12186600.0000","17.6900","18.1300","17.6700"
"2017/06/28","17.7600","10452110.0000","17.3400","17.7800","17.3300"
"2017/06/27","17.3400","7714791.0000","17.2100","17.4800","17.2000"
"2017/06/26","17.2900","9857628.0000","17.7000","17.7300","17.2300"
"2017/06/23","17.5400","7065833.0000","17.8200","17.8200","17.4700"
"2017/06/22","17.6400","9866164.0000","17.4500","17.8000","17.2100"
"2017/06/21","17.2700","8672019.0000","17.2700","17.4300","17.1300"
"2017/06/20","17.3100","13947540.0000","17.8200","17.8900","17.2300"
"2017/06/19","17.8800","28839090.0000","17.8500","18.3400","17.0300"
"2017/06/16","17.5400","18940770.0000","17.1400","17.8800","17.0000"
"2017/06/15","17.0000","22931640.0000","17.7200","17.7500","17.0000"
"2017/06/14","17.8800","9438676.0000","18.2500","18.2900","17.7600"
"2017/06/13","18.1000","11887850.0000","18.3800","18.5800","18.0800"
"2017/06/12","18.2000","16155470.0000","18.0500","18.4300","17.5600"
"2017/06/09","18.0800","31079180.0000","18.4100","18.4600","17.8800"
"2017/06/08","18.8500","32620750.0000","19.4000","19.4000","18.1800"
"2017/06/07","19.5600","16907550.0000","20.3700","20.4890","19.4500"
"2017/06/06","20.3600","6664715.0000","20.2200","20.4400","20.1300"
"2017/06/05","20.2100","15192320.0000","20.5200","20.8900","20.1400"
"2017/06/02","21.0900","9583642.0000","21.3400","21.4500","21.0000"
"2017/06/01","21.3400","7140515.0000","21.3200","21.4500","21.1900"
"2017/05/31","21.2100","9494398.0000","21.5000","21.7500","21.0942"
"2017/05/30","21.4500","9503996.0000","21.3000","21.5800","21.0100"
"2017/05/26","21.2200","13363960.0000","21.6600","21.7000","21.0700"
"2017/05/25","21.9300","24306980.0000","20.1600","21.9400","20.1100"
"2017/05/24","20.5300","13784860.0000","20.2000","20.6200","20.0000"
"2017/05/23","20.0300","8234753.0000","20.1400","20.3000","19.9000"
